scene,time,scene_type,scene_type_confidence,classification_reliable,M,A,O,F,EI,level,audio_mood,audio_emotion,audio_confidence,audio_emotion_raw_score,camera_angle,face_emotion,face_found,objects,tempo_bpm,mfcc_mean,spectral_centroid,fusion_confidence
53,01:16.83-01:17.70,Dialogue,0.6104,True,0.4525,1.0,0.8954,0.8413,0.76,High,intense,angry,0.4063,0.4063,right,happy,True,"car, person",136.0,9.7983,2061.85,0.6104
54,01:17.70-01:18.58,Romance,0.4523,True,0.2274,0.5413,0.3447,0.9165,0.45,Medium,suspense,happy,0.4286,0.4286,left,fear,True,person,136.0,1.2436,2252.56,0.4523
55,01:18.58-01:19.37,Comedy,0.4864,True,0.8782,1.0,0.3717,0.6094,0.77,High,intense,angry,0.4063,0.4063,left,sad,True,person,136.0,9.2964,2040.98,0.4864
56,01:19.37-01:20.04,Unknown,0.3678,False,0.4112,1.0,0.3683,0.0,0.52,Medium,intense,angry,0.4483,0.4483,left,unknown,False,person,136.0,10.2459,2094.29,0.3678
57,01:20.04-01:21.58,Romance,0.763,True,0.4743,1.0,0.0,0.0,0.47,Medium,intense,angry,0.3714,0.3714,left,unknown,False,,136.0,9.2817,1686.62,0.763
58,01:21.58-01:22.50,Comedy,0.5006,True,0.0135,0.8539,0.7453,0.0,0.41,Medium,intense,angry,0.4483,0.4483,left,unknown,False,"chair, laptop, person, tv",136.0,5.0329,2073.46,0.5006
59,01:22.50-01:23.29,Unknown,0.8775,True,0.0058,1.0,0.1783,0.0,0.34,Low,intense,angry,0.3514,0.3514,right,unknown,False,person,136.0,6.7151,1655.32,0.8775
60,01:23.29-01:24.54,Romance,0.6115,True,0.265,0.9852,0.1021,0.0,0.41,Medium,intense,angry,0.3514,0.3514,left,unknown,False,dog,136.0,5.676,1488.71,0.6115
61,01:24.54-01:25.59,Emotional,0.7999,True,0.015,0.7536,0.3632,0.0,0.3,Low,intense,angry,0.3514,0.3514,left,unknown,False,person,136.0,-1.3237,1778.13,0.7999
62,01:25.59-01:27.30,Dialogue,0.5456,True,0.026,0.148,0.5975,0.0,0.17,Low,suspense,happy,0.2449,0.2449,right,unknown,False,"chair, dog, person",136.0,-13.056,3331.63,0.5456
63,01:27.30-01:28.00,Emotional,0.6275,True,0.1472,0.0524,0.3809,0.0,0.14,Low,suspense,happy,0.2667,0.2667,left,unknown,False,person,136.0,-23.9821,2238.15,0.6275
64,01:28.00-01:29.34,Romance,0.7254,True,0.0167,0.1406,0.4724,0.0,0.14,Low,suspense,happy,0.2647,0.2647,right,unknown,False,"dog, person",136.0,-12.3316,2180.05,0.7254
65,01:29.34-01:30.13,Dialogue,0.5873,True,0.02,0.1541,0.5484,0.0,0.16,Low,suspense,happy,0.2264,0.2264,left,unknown,False,"dog, person",136.0,-15.5736,3519.35,0.5873
66,01:30.13-01:31.13,Dialogue,0.4674,True,0.1068,0.3406,0.5445,0.0,0.25,Low,suspense,happy,0.4186,0.4186,right,unknown,False,"dog, person",136.0,0.059,2993.8,0.4674
67,01:31.13-01:32.01,Romance,0.5432,True,0.0783,1.0,0.3487,0.0,0.4,Medium,intense,angry,0.3514,0.3514,left,unknown,False,person,136.0,9.7002,1549.82,0.5432
68,01:32.01-01:32.88,Romance,0.6523,True,0.565,1.0,0.3519,0.0,0.57,Medium,intense,angry,0.3714,0.3714,right,unknown,False,person,136.0,9.6258,1697.73,0.6523
69,01:32.88-01:33.76,Romance,0.5194,True,0.0811,1.0,0.345,0.0,0.4,Medium,intense,angry,0.3514,0.3514,left,unknown,False,person,136.0,9.4835,1648.94,0.5194
70,01:33.76-01:34.43,Romance,0.4062,True,1.0,1.0,0.367,0.9982,0.87,High,intense,angry,0.3714,0.3714,left,neutral,True,person,136.0,10.3062,1747.73,0.4062
71,01:34.43-01:35.14,Comedy,0.7787,True,0.5135,1.0,0.4652,0.9982,0.72,High,intense,happy,0.3684,0.3684,left,neutral,True,"person, tie",136.0,9.5735,2497.37,0.7787
72,01:35.14-01:36.05,Comedy,0.9351,True,0.5272,1.0,0.4157,0.7908,0.69,Medium,intense,angry,0.4062,0.4062,left,sad,True,"person, tie",136.0,9.429,1900.23,0.9351
73,01:36.05-01:37.31,Unknown,0.3879,False,0.4638,1.0,0.3531,0.0,0.53,Medium,intense,angry,0.4483,0.4483,left,unknown,False,car,136.0,10.9039,2039.71,0.3879
