scene,time,scene_type,scene_type_confidence,classification_reliable,M,A,O,F,EI,level,audio_mood,audio_emotion,audio_confidence,audio_emotion_raw_score,camera_angle,face_emotion,face_found,objects,tempo_bpm,mfcc_mean,spectral_centroid,fusion_confidence
73,01:28.13-01:28.76,Dialogue,0.435,True,0.1239,1.0,0.7207,0.5218,0.57,Medium,intense,angry,0.3514,0.3514,right,sad,True,"cup, person, pizza, wine glass",143.55,12.2747,1687.46,0.435
74,01:28.76-01:29.30,Comedy,0.4587,True,0.3417,1.0,0.3786,0.9021,0.63,Medium,intense,angry,0.4062,0.4062,left,sad,True,person,143.55,11.3695,1917.13,0.4587
75,01:29.30-01:30.42,Unknown,0.3794,False,0.3051,1.0,0.3802,0.9853,0.63,Medium,intense,angry,0.3514,0.3514,left,surprise,True,person,143.55,13.4259,1558.68,0.3794
76,01:30.42-01:32.18,Romance,0.4214,True,0.2217,1.0,0.5631,0.7593,0.6,Medium,intense,angry,0.3514,0.3514,left,angry,True,"person, vase",143.55,8.0632,1134.03,0.4214
77,01:32.18-01:34.26,Romance,0.4868,True,0.0626,0.7167,0.5095,0.7759,0.46,Medium,intense,happy,0.2895,0.2895,left,angry,True,"person, tie",143.55,-3.4118,1692.98,0.4868
78,01:34.26-01:35.76,Romance,0.4531,True,0.1472,1.0,0.0,0.4783,0.42,Medium,intense,angry,0.3514,0.3514,right,fear,True,,143.55,11.4341,1742.3,0.4531
79,01:35.76-01:36.68,Romance,0.5255,True,0.4676,1.0,0.6814,0.0,0.6,Medium,intense,angry,0.3514,0.3514,right,unknown,False,"cell phone, person, remote",143.55,8.5434,1522.84,0.5255
80,01:36.68-01:37.56,Romance,0.7329,True,0.0459,0.9628,0.3799,0.7802,0.5,Medium,intense,angry,0.3714,0.3714,left,sad,True,person,143.55,4.6899,1543.03,0.7329
81,01:37.56-01:38.43,Comedy,0.6524,True,0.0751,0.9053,0.6593,0.5991,0.52,Medium,intense,angry,0.3714,0.3714,left,neutral,True,"bottle, person, refrigerator",143.55,3.1007,1748.96,0.6524
82,01:38.43-01:39.22,Comedy,0.8415,True,0.3382,0.9361,0.5866,0.7175,0.62,Medium,intense,angry,0.4062,0.4062,left,neutral,True,"cell phone, chair, person",143.55,2.422,1837.22,0.8415
83,01:39.22-01:40.23,Comedy,0.9214,True,0.137,1.0,0.5991,0.7295,0.58,Medium,intense,angry,0.4063,0.4063,left,fear,True,"bottle, person, refrigerator",143.55,3.3084,2014.26,0.9214
84,01:40.23-01:42.98,Emotional,0.8591,True,0.3291,0.1535,0.3701,0.7157,0.34,Low,suspense,happy,0.3243,0.3243,left,sad,True,person,143.55,-13.7471,2231.5,0.8591
85,01:42.98-01:43.94,Comedy,0.4332,True,0.117,1.0,0.3667,0.0,0.41,Medium,intense,angry,0.3714,0.3714,left,unknown,False,person,143.55,6.5399,2176.56,0.4332
86,01:43.94-01:44.77,Romance,0.6069,True,0.0142,1.0,0.3653,0.958,0.52,Medium,intense,angry,0.4062,0.4062,left,sad,True,person,143.55,2.6082,1987.46,0.6069
87,01:44.77-01:46.06,Comedy,0.8861,True,0.337,0.7795,0.551,0.8737,0.59,Medium,intense,angry,0.375,0.375,right,neutral,True,"bottle, person",143.55,4.1252,2291.12,0.8861
88,01:46.06-01:47.57,Romance,0.4084,True,0.4443,1.0,0.3578,0.9995,0.68,Medium,intense,angry,0.3514,0.3514,right,happy,True,person,143.55,8.4322,1511.59,0.4084
89,01:47.57-01:48.11,Comedy,0.4923,True,0.11,0.7629,0.8478,0.9945,0.59,Medium,intense,angry,0.4483,0.4483,right,neutral,True,"car, person",143.55,2.4761,2085.75,0.4923
90,01:48.11-01:48.90,Comedy,0.781,True,0.4042,1.0,1.0,0.4924,0.72,High,intense,angry,0.3714,0.3714,right,sad,True,"car, person, truck",143.55,9.8794,1771.2,0.781
91,01:48.90-01:50.40,Comedy,0.618,True,0.2873,0.9265,0.7418,0.9656,0.67,Medium,intense,angry,0.3514,0.3514,right,sad,True,"car, person",143.55,4.1552,1747.66,0.618
92,01:50.40-01:51.19,Comedy,0.6551,True,0.1629,0.7155,0.383,0.9636,0.49,Medium,intense,happy,0.3333,0.3333,left,surprise,True,person,143.55,1.3252,2335.09,0.6551
93,01:51.19-01:52.61,Romance,0.5738,True,0.1971,0.4276,0.4923,0.8384,0.42,Medium,suspense,happy,0.4444,0.4444,right,fear,True,"person, tie",143.55,-11.5228,2448.15,0.5738
94,01:52.61-01:54.28,Emotional,0.5846,True,0.1296,0.433,0.3788,0.9992,0.4,Medium,suspense,happy,0.3939,0.3939,left,neutral,True,person,143.55,-11.3041,2180.9,0.5846
95,01:54.28-01:55.70,Romance,0.7645,True,0.0617,0.4248,0.718,0.824,0.42,Medium,suspense,happy,0.3824,0.3824,right,surprise,True,"car, person",143.55,-13.9068,1839.13,0.7645
96,01:55.70-01:56.95,Comedy,0.7159,True,0.2484,1.0,0.0,0.0,0.39,Low,intense,happy,0.4375,0.4375,left,unknown,False,,143.55,11.6888,2361.01,0.7159
97,01:56.95-01:57.78,Comedy,0.5947,True,0.0139,1.0,0.5768,0.0,0.42,Medium,intense,angry,0.4483,0.4483,left,unknown,False,"chair, person, tv",143.55,10.9798,2052.44,0.5947
